Mod:Item:MetaData, Localized Name
GalacticraftMars:tile.cavernVines, Cavernous Vines
GalacticraftMars:tile.slimelingEgg:0, Red Slimeling Egg
GalacticraftMars:tile.slimelingEgg:1, Blue Slimeling Egg
GalacticraftMars:tile.slimelingEgg:2, Yellow Slimeling Egg
GalacticraftMars:tile.creeperEgg, Creeper Egg
GalacticraftMars:tile.marsMachine:0, Terraformer
GalacticraftMars:tile.marsMachine:4, Cryogenic Chamber
GalacticraftMars:tile.marsMachine:8, Launch Controller
GalacticraftMars:tile.marsMachineT2:0, Gas Liquefier
GalacticraftMars:tile.marsMachineT2:4, Methane Synthesizer
GalacticraftMars:tile.marsMachineT2:8, Water Electrolyzer
GalacticraftMars:tile.marsCobblestoneStairs, Mars Cobblestone Stairs
GalacticraftMars:tile.marsDungeonBricksStairs, Mars Dungeon Brick Stairs
GalacticraftMars:tile.hydrogenPipe, Hydrogen Pipe
harvestcraft:cuttingboard, Cutting Board
harvestcraft:pot, Pot
harvestcraft:beehive, Beehive
harvestcraft:apiary, Apiary
harvestcraft:presser, Presser
harvestcraft:sink, tile.sink.name
harvestcraft:salt, Salt Ore
harvestcraft:spamcompressedsaltBlockalt, Compressed Salt Block
harvestcraft:market, Market
harvestcraft:oven, Oven
harvestcraft:ovenon, tile.ovenon.name
harvestcraft:churn, Churn
harvestcraft:churnon, tile.churnon.name
harvestcraft:quern, Quern
harvestcraft:quernon, tile.quernon.name
harvestcraft:fishtrap, Fish Trap
harvestcraft:animaltrap, Animal Trap
harvestcraft:berrygarden, Berry Garden
harvestcraft:desertgarden, Desert Garden
harvestcraft:grassgarden, Grass Garden
harvestcraft:gourdgarden, Gourd Garden
harvestcraft:groundgarden, Ground Garden
harvestcraft:herbgarden, Herb Garden
harvestcraft:leafygarden, Leafy Garden
harvestcraft:mushroomgarden, Mushroom Garden
harvestcraft:stalkgarden, Stalk Garden
harvestcraft:textilegarden, Textile Garden
harvestcraft:tropicalgarden, Tropical Garden
harvestcraft:watergarden, Water Garden
harvestcraft:pamApple, Apple
harvestcraft:pamappleSapling, Apple Sapling
harvestcraft:pamAlmond, Almond
harvestcraft:pamalmondSapling, Almond Sapling
harvestcraft:pamApricot, Apricot
harvestcraft:pamapricotSapling, Apricot Sapling
harvestcraft:pamAvocado, Avocado
harvestcraft:pamavocadoSapling, Avocado Sapling
harvestcraft:pamBanana, Banana
harvestcraft:pambananaSapling, Banana Sapling
harvestcraft:pamCashew, Cashew
harvestcraft:pamcashewSapling, Cashew Sapling
harvestcraft:pamCherry, Cherry
harvestcraft:pamcherrySapling, Cherry Sapling
harvestcraft:pamChestnut, Chestnut
harvestcraft:pamchestnutSapling, Chestnut Sapling
harvestcraft:pamCinnamon, Cinnamon Wood
harvestcraft:pamcinnamonSapling, Cinnamon Sapling
harvestcraft:pamCoconut, Coconut
harvestcraft:pamcoconutSapling, Coconut Sapling
harvestcraft:pamDate, Date
harvestcraft:pamdateSapling, Date Sapling
harvestcraft:pamDragonfruit, Dragonfruit
harvestcraft:pamdragonfruitSapling, Dragonfruit Sapling
harvestcraft:pamDurian, Durian
harvestcraft:pamdurianSapling, Durian Sapling
harvestcraft:pamFig, Fig
harvestcraft:pamfigSapling, Fig Sapling
harvestcraft:pamGrapefruit, Grapefruit
harvestcraft:pamgrapefruitSapling, Grapefruit Sapling
harvestcraft:pamLemon, Lemon
harvestcraft:pamlemonSapling, Lemon Sapling
harvestcraft:pamLime, Lime
harvestcraft:pamlimeSapling, Lime Sapling
harvestcraft:pamMaple, Maple Wood
harvestcraft:pammapleSapling, Maple Sapling
harvestcraft:pamMango, Mango
harvestcraft:pammangoSapling, Mango Sapling
harvestcraft:pamNutmeg, Nutmeg
harvestcraft:pamnutmegSapling, Nutmeg Sapling
harvestcraft:pamOlive, Olive
harvestcraft:pamoliveSapling, Olive Sapling
harvestcraft:pamOrange, Orange
harvestcraft:pamorangeSapling, Orange Sapling
harvestcraft:pamPapaya, Papaya
harvestcraft:pampapayaSapling, Papaya Sapling
harvestcraft:pamPaperbark, Paperbark Wood
harvestcraft:pampaperbarkSapling, Paperbark Sapling
harvestcraft:pamPeach, Peach
harvestcraft:pampeachSapling, Peach Sapling
harvestcraft:pamPear, Pear
harvestcraft:pampearSapling, Pear Sapling
harvestcraft:pamPecan, Pecan
harvestcraft:pampecanSapling, Pecan Sapling
harvestcraft:pamPeppercorn, Peppercorn
harvestcraft:pampeppercornSapling, Peppercorn Sapling
harvestcraft:pamPersimmon, Persimmon
harvestcraft:pampersimmonSapling, Persimmon Sapling
harvestcraft:pamPistachio, Pistachio
harvestcraft:pampistachioSapling, Pistachio Sapling
harvestcraft:pamPlum, Plum
harvestcraft:pamplumSapling, Plum Sapling
harvestcraft:pamPomegranate, Pomegranate
harvestcraft:pampomegranateSapling, Pomegranate Sapling
harvestcraft:pamStarfruit, Starfruit
harvestcraft:pamstarfruitSapling, Starfruit Sapling
harvestcraft:pamVanillabean, Vanilla Bean
harvestcraft:pamvanillabeanSapling, Vanilla Sapling
harvestcraft:pamWalnut, Walnut
harvestcraft:pamwalnutSapling, Walnut Sapling
harvestcraft:pamGooseberry, Goosberry
harvestcraft:pamgooseberrySapling, Gooseberry Sapling
harvestcraft:pamblackberryCrop, Blackberry Crop
harvestcraft:pamblueberryCrop, Blueberry Crop
harvestcraft:pamcandleberryCrop, Candleberry Crop
harvestcraft:pamraspberryCrop, Raspberry Crop
harvestcraft:pamstrawberryCrop, Strawberry Crop
harvestcraft:pamcactusfruitCrop, Cactus Fruit Crop
harvestcraft:pamasparagusCrop, Asparagus Crop
harvestcraft:pambarleyCrop, Barley Crop
harvestcraft:pamoatsCrop, Oats Crop
harvestcraft:pamryeCrop, Rye Crop
harvestcraft:pamcornCrop, Corn Crop
harvestcraft:pambambooshootCrop, Bamboo Crop
harvestcraft:pamcantaloupeCrop, Cantaloupe Crop
harvestcraft:pamcucumberCrop, Cucumber Crop
harvestcraft:pamwintersquashCrop, Winter Squash Crop
harvestcraft:pamzucchiniCrop, Zucchini Crop
harvestcraft:pambeetCrop, Beet Crop
harvestcraft:pamonionCrop, Onion Crop
harvestcraft:pamparsnipCrop, Parsnip Crop
harvestcraft:pampeanutCrop, Peanut Crop
harvestcraft:pamradishCrop, Radish Crop
harvestcraft:pamrutabagaCrop, Rutabaga Crop
harvestcraft:pamsweetpotatoCrop, Sweet Potato Crop
harvestcraft:pamturnipCrop, Turnip Crop
harvestcraft:pamrhubarbCrop, Rhubarb Crop
harvestcraft:pamceleryCrop, Celery Crop
harvestcraft:pamgarlicCrop, Garlic Crop
harvestcraft:pamgingerCrop, Ginger Crop
harvestcraft:pamspiceleafCrop, Spice Leaf Crop
harvestcraft:pamtealeafCrop, Tea Leaf Crop
harvestcraft:pamcoffeebeanCrop, Coffee Bean Crop
harvestcraft:pammustardseedsCrop, Mustard Seeds Crop
harvestcraft:pambroccoliCrop, Broccoli Crop
harvestcraft:pamcauliflowerCrop, Cauliflower Crop
harvestcraft:pamleekCrop, Leek Crop
harvestcraft:pamlettuceCrop, Lettuce Crop
harvestcraft:pamscallionCrop, Scallion Crop
harvestcraft:pamartichokeCrop, Artichoke Crop
harvestcraft:pambrusselsproutCrop, Brussel Sprout Crop
harvestcraft:pamcabbageCrop, Cabbage Crop
harvestcraft:pamspinachCrop, Spinach Crop
harvestcraft:pamwhitemushroomCrop, White Mushroom Crop
harvestcraft:pambeanCrop, Bean Crop
harvestcraft:pamsoybeanCrop, Soybean Crop
harvestcraft:pambellpepperCrop, Bell Pepper Crop
harvestcraft:pamchilipepperCrop, Chili Pepper Crop
harvestcraft:pameggplantCrop, Eggplant Crop
harvestcraft:pamokraCrop, Okra Crop
harvestcraft:pampeasCrop, Peas Crop
harvestcraft:pamtomatoCrop, Tomato Crop
harvestcraft:pamcottonCrop, Cotton Crop
harvestcraft:pampineappleCrop, Pineapple Crop
harvestcraft:pamgrapeCrop, Grape Crop
harvestcraft:pamkiwiCrop, Kiwi Crop
harvestcraft:pamcranberryCrop, Cranberry Crop
harvestcraft:pamriceCrop, Rice Crop
harvestcraft:pamseaweedCrop, Seaweed Crop
harvestcraft:pamcurryleafCrop, Curry Leaf Crop
harvestcraft:pamsesameseedsCrop, Sesame Seeds Crop
harvestcraft:pamwaterchestnutCrop, Water Chestnut Crop
harvestcraft:pamcandleDeco1, White Candle
harvestcraft:pamcandleDeco2, Orange Candle
harvestcraft:pamcandleDeco3, Magenta Candle
harvestcraft:pamcandleDeco4, Light Blue Candle
harvestcraft:pamcandleDeco5, Yellow Candle
harvestcraft:pamcandleDeco6, Lime Candle
harvestcraft:pamcandleDeco7, Pink Candle
harvestcraft:pamcandleDeco8, Dark Grey Candle
harvestcraft:pamcandleDeco9, Light Grey Candle
harvestcraft:pamcandleDeco10, Cyan Candle
harvestcraft:pamcandleDeco11, Purple Candle
harvestcraft:pamcandleDeco12, Blue Candle
harvestcraft:pamcandleDeco13, Brown Candle
harvestcraft:pamcandleDeco14, Green Candle
harvestcraft:pamcandleDeco15, Red Candle
harvestcraft:pamcandleDeco16, Black Candle
harvestcraft:pamcarrotCake, Carrot Cake
harvestcraft:pamcheeseCake, Cheese Cake
harvestcraft:pamcherrycheeseCake, Cherry Cheese Cake
harvestcraft:pampineappleupsidedownCake, Pineapple Upside Down Cake
harvestcraft:pamchocolatesprinkleCake, Chocolate Sprinkles Cake
harvestcraft:pamredvelvetCake, Red Velvet Cake
harvestcraft:pamlamingtonCake, Lamington
harvestcraft:pampavlovaCake, Pavlova
harvestcraft:pamholidayCake, Holiday Cake
harvestcraft:pampumpkincheeseCake, Pumpkin Cheese Cake
gregtech:gt.blockmachines:1, gt.blockmachines.hull.bronze.name
gregtech:gt.blockmachines:2, gt.blockmachines.hull.bronze_bricked.name
gregtech:gt.blockmachines:3, gt.blockmachines.hull.steel.name
gregtech:gt.blockmachines:4, gt.blockmachines.hull.steel_bricked.name
gregtech:gt.blockmachines:10, gt.blockmachines.hull.tier.00.name
gregtech:gt.blockmachines:11, gt.blockmachines.hull.tier.01.name
gregtech:gt.blockmachines:12, gt.blockmachines.hull.tier.02.name
gregtech:gt.blockmachines:13, gt.blockmachines.hull.tier.03.name
gregtech:gt.blockmachines:14, gt.blockmachines.hull.tier.04.name
gregtech:gt.blockmachines:15, gt.blockmachines.hull.tier.05.name
gregtech:gt.blockmachines:16, gt.blockmachines.hull.tier.06.name
gregtech:gt.blockmachines:17, gt.blockmachines.hull.tier.07.name
gregtech:gt.blockmachines:18, gt.blockmachines.hull.tier.08.name
gregtech:gt.blockmachines:19, gt.blockmachines.hull.tier.09.name
gregtech:gt.blockmachines:20, gt.blockmachines.transformer.tier.00.name
gregtech:gt.blockmachines:21, gt.blockmachines.transformer.tier.01.name
gregtech:gt.blockmachines:22, gt.blockmachines.transformer.tier.02.name
gregtech:gt.blockmachines:23, gt.blockmachines.transformer.tier.03.name
gregtech:gt.blockmachines:24, gt.blockmachines.transformer.tier.04.name
gregtech:gt.blockmachines:25, gt.blockmachines.transformer.tier.05.name
gregtech:gt.blockmachines:26, gt.blockmachines.transformer.tier.06.name
gregtech:gt.blockmachines:27, gt.blockmachines.transformer.tier.07.name
gregtech:gt.blockmachines:28, gt.blockmachines.transformer.tier.08.name
gregtech:gt.blockmachines:30, gt.blockmachines.hatch.dynamo.tier.00.name
gregtech:gt.blockmachines:31, gt.blockmachines.hatch.dynamo.tier.01.name
gregtech:gt.blockmachines:32, gt.blockmachines.hatch.dynamo.tier.02.name
gregtech:gt.blockmachines:33, gt.blockmachines.hatch.dynamo.tier.03.name
gregtech:gt.blockmachines:34, gt.blockmachines.hatch.dynamo.tier.04.name
gregtech:gt.blockmachines:35, gt.blockmachines.hatch.dynamo.tier.05.name
gregtech:gt.blockmachines:36, gt.blockmachines.hatch.dynamo.tier.06.name
gregtech:gt.blockmachines:37, gt.blockmachines.hatch.dynamo.tier.07.name
gregtech:gt.blockmachines:38, gt.blockmachines.hatch.dynamo.tier.08.name
gregtech:gt.blockmachines:39, gt.blockmachines.hatch.dynamo.tier.09.name
gregtech:gt.blockmachines:40, gt.blockmachines.hatch.energy.tier.00.name
gregtech:gt.blockmachines:41, gt.blockmachines.hatch.energy.tier.01.name
gregtech:gt.blockmachines:42, gt.blockmachines.hatch.energy.tier.02.name
gregtech:gt.blockmachines:43, gt.blockmachines.hatch.energy.tier.03.name
gregtech:gt.blockmachines:44, gt.blockmachines.hatch.energy.tier.04.name
gregtech:gt.blockmachines:45, gt.blockmachines.hatch.energy.tier.05.name
gregtech:gt.blockmachines:46, gt.blockmachines.hatch.energy.tier.06.name
gregtech:gt.blockmachines:47, gt.blockmachines.hatch.energy.tier.07.name
gregtech:gt.blockmachines:48, gt.blockmachines.hatch.energy.tier.08.name
gregtech:gt.blockmachines:49, gt.blockmachines.hatch.energy.tier.09.name
gregtech:gt.blockmachines:50, gt.blockmachines.hatch.input.tier.00.name
gregtech:gt.blockmachines:51, gt.blockmachines.hatch.input.tier.01.name
gregtech:gt.blockmachines:52, gt.blockmachines.hatch.input.tier.02.name
gregtech:gt.blockmachines:53, gt.blockmachines.hatch.input.tier.03.name
gregtech:gt.blockmachines:54, gt.blockmachines.hatch.input.tier.04.name
gregtech:gt.blockmachines:55, gt.blockmachines.hatch.input.tier.05.name
gregtech:gt.blockmachines:56, gt.blockmachines.hatch.input.tier.06.name
gregtech:gt.blockmachines:57, gt.blockmachines.hatch.input.tier.07.name
gregtech:gt.blockmachines:58, gt.blockmachines.hatch.input.tier.08.name
gregtech:gt.blockmachines:59, gt.blockmachines.hatch.input.tier.09.name
gregtech:gt.blockmachines:60, gt.blockmachines.hatch.output.tier.00.name
gregtech:gt.blockmachines:61, gt.blockmachines.hatch.output.tier.01.name
gregtech:gt.blockmachines:62, gt.blockmachines.hatch.output.tier.02.name
gregtech:gt.blockmachines:63, gt.blockmachines.hatch.output.tier.03.name
gregtech:gt.blockmachines:64, gt.blockmachines.hatch.output.tier.04.name
gregtech:gt.blockmachines:65, gt.blockmachines.hatch.output.tier.05.name
gregtech:gt.blockmachines:66, gt.blockmachines.hatch.output.tier.06.name
gregtech:gt.blockmachines:67, gt.blockmachines.hatch.output.tier.07.name
gregtech:gt.blockmachines:68, gt.blockmachines.hatch.output.tier.08.name
gregtech:gt.blockmachines:69, gt.blockmachines.hatch.output.tier.09.name
gregtech:gt.blockmachines:70, gt.blockmachines.hatch.input_bus.tier.00.name
gregtech:gt.blockmachines:71, gt.blockmachines.hatch.input_bus.tier.01.name
gregtech:gt.blockmachines:72, gt.blockmachines.hatch.input_bus.tier.02.name
gregtech:gt.blockmachines:73, gt.blockmachines.hatch.input_bus.tier.03.name
gregtech:gt.blockmachines:74, gt.blockmachines.hatch.input_bus.tier.04.name
gregtech:gt.blockmachines:75, gt.blockmachines.hatch.input_bus.tier.05.name
gregtech:gt.blockmachines:76, gt.blockmachines.hatch.input_bus.tier.06.name
gregtech:gt.blockmachines:77, gt.blockmachines.hatch.input_bus.tier.07.name
gregtech:gt.blockmachines:78, gt.blockmachines.hatch.input_bus.tier.08.name
gregtech:gt.blockmachines:79, gt.blockmachines.hatch.input_bus.tier.09.name
gregtech:gt.blockmachines:80, gt.blockmachines.hatch.output_bus.tier.00.name
gregtech:gt.blockmachines:81, gt.blockmachines.hatch.output_bus.tier.01.name
gregtech:gt.blockmachines:82, gt.blockmachines.hatch.output_bus.tier.02.name
gregtech:gt.blockmachines:83, gt.blockmachines.hatch.output_bus.tier.03.name
gregtech:gt.blockmachines:84, gt.blockmachines.hatch.output_bus.tier.04.name
gregtech:gt.blockmachines:85, gt.blockmachines.hatch.output_bus.tier.05.name
gregtech:gt.blockmachines:86, gt.blockmachines.hatch.output_bus.tier.06.name
gregtech:gt.blockmachines:87, gt.blockmachines.hatch.output_bus.tier.07.name
gregtech:gt.blockmachines:88, gt.blockmachines.hatch.output_bus.tier.08.name
gregtech:gt.blockmachines:89, gt.blockmachines.hatch.output_bus.tier.09.name
gregtech:gt.blockmachines:90, gt.blockmachines.hatch.maintenance.name
gregtech:gt.blockmachines:91, gt.blockmachines.hatch.muffler.tier.01.name
gregtech:gt.blockmachines:92, gt.blockmachines.hatch.muffler.tier.02.name
gregtech:gt.blockmachines:93, gt.blockmachines.hatch.muffler.tier.03.name
gregtech:gt.blockmachines:94, gt.blockmachines.hatch.muffler.tier.04.name
gregtech:gt.blockmachines:95, gt.blockmachines.hatch.muffler.tier.05.name
gregtech:gt.blockmachines:96, gt.blockmachines.hatch.muffler.tier.06.name
gregtech:gt.blockmachines:97, gt.blockmachines.hatch.muffler.tier.07.name
gregtech:gt.blockmachines:98, gt.blockmachines.hatch.muffler.tier.08.name
gregtech:gt.blockmachines:99, gt.blockmachines.hatch.muffler.tier.09.name
gregtech:gt.blockmachines:100, gt.blockmachines.boiler.bronze.name
gregtech:gt.blockmachines:101, gt.blockmachines.boiler.steel.name
gregtech:gt.blockmachines:102, gt.blockmachines.boiler.lava.name
gregtech:gt.blockmachines:103, gt.blockmachines.bronzemachine.furnace.name
gregtech:gt.blockmachines:104, gt.blockmachines.steelmachine.furnace.name
gregtech:gt.blockmachines:105, gt.blockmachines.boiler.solar.name
gregtech:gt.blockmachines:106, gt.blockmachines.bronzemachine.macerator.name
gregtech:gt.blockmachines:107, gt.blockmachines.steelmachine.macerator.name
gregtech:gt.blockmachines:108, gt.blockmachines.bronzemachine.blastfurnace.name
gregtech:gt.blockmachines:109, gt.blockmachines.bronzemachine.extractor.name
gregtech:gt.blockmachines:110, gt.blockmachines.steelmachine.extractor.name
gregtech:gt.blockmachines:112, gt.blockmachines.bronzemachine.hammer.name
gregtech:gt.blockmachines:113, gt.blockmachines.steelmachine.hammer.name
gregtech:gt.blockmachines:115, gt.blockmachines.bronzemachine.compressor.name
gregtech:gt.blockmachines:116, gt.blockmachines.steelmachine.compressor.name
gregtech:gt.blockmachines:118, gt.blockmachines.bronzemachine.alloysmelter.name
gregtech:gt.blockmachines:119, gt.blockmachines.steelmachine.alloysmelter.name
gregtech:gt.blockmachines:120, gt.blockmachines.quantum.tank.tier.01.name
gregtech:gt.blockmachines:121, gt.blockmachines.quantum.tank.tier.02.name
gregtech:gt.blockmachines:122, gt.blockmachines.quantum.tank.tier.03.name
gregtech:gt.blockmachines:123, gt.blockmachines.quantum.tank.tier.04.name
gregtech:gt.blockmachines:124, gt.blockmachines.quantum.tank.tier.05.name
gregtech:gt.blockmachines:125, gt.blockmachines.quantum.chest.tier.01.name
gregtech:gt.blockmachines:126, gt.blockmachines.quantum.chest.tier.02.name
gregtech:gt.blockmachines:127, gt.blockmachines.quantum.chest.tier.03.name
gregtech:gt.blockmachines:128, gt.blockmachines.quantum.chest.tier.04.name
gregtech:gt.blockmachines:129, gt.blockmachines.quantum.chest.tier.05.name
gregtech:gt.blockmachines:150, gt.blockmachines.locker.tier.00.name
gregtech:gt.blockmachines:151, gt.blockmachines.locker.tier.01.name
gregtech:gt.blockmachines:152, gt.blockmachines.locker.tier.02.name
gregtech:gt.blockmachines:153, gt.blockmachines.locker.tier.03.name
gregtech:gt.blockmachines:154, gt.blockmachines.locker.tier.04.name
gregtech:gt.blockmachines:155, gt.blockmachines.locker.tier.05.name
gregtech:gt.blockmachines:156, gt.blockmachines.locker.tier.06.name
gregtech:gt.blockmachines:157, gt.blockmachines.locker.tier.07.name
gregtech:gt.blockmachines:158, gt.blockmachines.locker.tier.08.name
gregtech:gt.blockmachines:159, gt.blockmachines.locker.tier.09.name
gregtech:gt.blockmachines:160, gt.blockmachines.batterybuffer.01.tier.00.name
gregtech:gt.blockmachines:161, gt.blockmachines.batterybuffer.01.tier.01.name
gregtech:gt.blockmachines:162, gt.blockmachines.batterybuffer.01.tier.02.name
gregtech:gt.blockmachines:163, gt.blockmachines.batterybuffer.01.tier.03.name
gregtech:gt.blockmachines:164, gt.blockmachines.batterybuffer.01.tier.04.name
gregtech:gt.blockmachines:165, gt.blockmachines.batterybuffer.01.tier.05.name
gregtech:gt.blockmachines:166, gt.blockmachines.batterybuffer.01.tier.06.name
gregtech:gt.blockmachines:167, gt.blockmachines.batterybuffer.01.tier.07.name
gregtech:gt.blockmachines:168, gt.blockmachines.batterybuffer.01.tier.08.name
gregtech:gt.blockmachines:169, gt.blockmachines.batterybuffer.01.tier.09.name
gregtech:gt.blockmachines:170, gt.blockmachines.batterybuffer.04.tier.00.name
gregtech:gt.blockmachines:171, gt.blockmachines.batterybuffer.04.tier.01.name
gregtech:gt.blockmachines:172, gt.blockmachines.batterybuffer.04.tier.02.name
gregtech:gt.blockmachines:173, gt.blockmachines.batterybuffer.04.tier.03.name
gregtech:gt.blockmachines:174, gt.blockmachines.batterybuffer.04.tier.04.name
gregtech:gt.blockmachines:175, gt.blockmachines.batterybuffer.04.tier.05.name
gregtech:gt.blockmachines:176, gt.blockmachines.batterybuffer.04.tier.06.name
gregtech:gt.blockmachines:177, gt.blockmachines.batterybuffer.04.tier.07.name
gregtech:gt.blockmachines:178, gt.blockmachines.batterybuffer.04.tier.08.name
gregtech:gt.blockmachines:179, gt.blockmachines.batterybuffer.04.tier.09.name
gregtech:gt.blockmachines:180, gt.blockmachines.batterybuffer.09.tier.00.name
gregtech:gt.blockmachines:181, gt.blockmachines.batterybuffer.09.tier.01.name
gregtech:gt.blockmachines:182, gt.blockmachines.batterybuffer.09.tier.02.name
gregtech:gt.blockmachines:183, gt.blockmachines.batterybuffer.09.tier.03.name
gregtech:gt.blockmachines:184, gt.blockmachines.batterybuffer.09.tier.04.name
gregtech:gt.blockmachines:185, gt.blockmachines.batterybuffer.09.tier.05.name
gregtech:gt.blockmachines:186, gt.blockmachines.batterybuffer.09.tier.06.name
gregtech:gt.blockmachines:187, gt.blockmachines.batterybuffer.09.tier.07.name
gregtech:gt.blockmachines:188, gt.blockmachines.batterybuffer.09.tier.08.name
gregtech:gt.blockmachines:189, gt.blockmachines.batterybuffer.09.tier.09.name
gregtech:gt.blockmachines:190, gt.blockmachines.batterybuffer.16.tier.00.name
gregtech:gt.blockmachines:191, gt.blockmachines.batterybuffer.16.tier.01.name
gregtech:gt.blockmachines:192, gt.blockmachines.batterybuffer.16.tier.02.name
gregtech:gt.blockmachines:193, gt.blockmachines.batterybuffer.16.tier.03.name
gregtech:gt.blockmachines:194, gt.blockmachines.batterybuffer.16.tier.04.name
gregtech:gt.blockmachines:195, gt.blockmachines.batterybuffer.16.tier.05.name
gregtech:gt.blockmachines:196, gt.blockmachines.batterybuffer.16.tier.06.name
gregtech:gt.blockmachines:197, gt.blockmachines.batterybuffer.16.tier.07.name
gregtech:gt.blockmachines:198, gt.blockmachines.batterybuffer.16.tier.08.name
gregtech:gt.blockmachines:199, gt.blockmachines.batterybuffer.16.tier.09.name
gregtech:gt.blockmachines:201, gt.blockmachines.basicmachine.alloysmelter.tier.01.name
gregtech:gt.blockmachines:202, gt.blockmachines.basicmachine.alloysmelter.tier.02.name
gregtech:gt.blockmachines:203, gt.blockmachines.basicmachine.alloysmelter.tier.03.name
gregtech:gt.blockmachines:204, gt.blockmachines.basicmachine.alloysmelter.tier.04.name
gregtech:gt.blockmachines:205, gt.blockmachines.basicmachine.alloysmelter.tier.05.name
gregtech:gt.blockmachines:211, gt.blockmachines.basicmachine.assembler.tier.01.name
gregtech:gt.blockmachines:212, gt.blockmachines.basicmachine.assembler.tier.02.name
gregtech:gt.blockmachines:213, gt.blockmachines.basicmachine.assembler.tier.03.name
gregtech:gt.blockmachines:214, gt.blockmachines.basicmachine.assembler.tier.04.name
gregtech:gt.blockmachines:215, gt.blockmachines.basicmachine.assembler.tier.05.name
gregtech:gt.blockmachines:221, gt.blockmachines.basicmachine.bender.tier.01.name
gregtech:gt.blockmachines:222, gt.blockmachines.basicmachine.bender.tier.02.name
gregtech:gt.blockmachines:223, gt.blockmachines.basicmachine.bender.tier.03.name
gregtech:gt.blockmachines:224, gt.blockmachines.basicmachine.bender.tier.04.name
gregtech:gt.blockmachines:225, gt.blockmachines.basicmachine.bender.tier.05.name
gregtech:gt.blockmachines:231, gt.blockmachines.basicmachine.canner.tier.01.name
gregtech:gt.blockmachines:232, gt.blockmachines.basicmachine.canner.tier.02.name
gregtech:gt.blockmachines:233, gt.blockmachines.basicmachine.canner.tier.03.name
gregtech:gt.blockmachines:234, gt.blockmachines.basicmachine.canner.tier.04.name
gregtech:gt.blockmachines:235, gt.blockmachines.basicmachine.canner.tier.05.name
gregtech:gt.blockmachines:241, gt.blockmachines.basicmachine.compressor.tier.01.name
gregtech:gt.blockmachines:242, gt.blockmachines.basicmachine.compressor.tier.02.name
gregtech:gt.blockmachines:243, gt.blockmachines.basicmachine.compressor.tier.03.name
gregtech:gt.blockmachines:244, gt.blockmachines.basicmachine.compressor.tier.04.name
gregtech:gt.blockmachines:245, gt.blockmachines.basicmachine.compressor.tier.05.name
gregtech:gt.blockmachines:251, gt.blockmachines.basicmachine.cutter.tier.01.name
gregtech:gt.blockmachines:252, gt.blockmachines.basicmachine.cutter.tier.02.name
gregtech:gt.blockmachines:253, gt.blockmachines.basicmachine.cutter.tier.03.name
gregtech:gt.blockmachines:254, gt.blockmachines.basicmachine.cutter.tier.04.name
gregtech:gt.blockmachines:255, gt.blockmachines.basicmachine.cutter.tier.05.name
gregtech:gt.blockmachines:261, gt.blockmachines.basicmachine.e_furnace.tier.01.name
gregtech:gt.blockmachines:262, gt.blockmachines.basicmachine.e_furnace.tier.02.name
gregtech:gt.blockmachines:263, gt.blockmachines.basicmachine.e_furnace.tier.03.name
gregtech:gt.blockmachines:264, gt.blockmachines.basicmachine.e_furnace.tier.04.name
gregtech:gt.blockmachines:265, gt.blockmachines.basicmachine.e_furnace.tier.05.name
gregtech:gt.blockmachines:271, gt.blockmachines.basicmachine.extractor.tier.01.name
gregtech:gt.blockmachines:272, gt.blockmachines.basicmachine.extractor.tier.02.name
gregtech:gt.blockmachines:273, gt.blockmachines.basicmachine.extractor.tier.03.name
gregtech:gt.blockmachines:274, gt.blockmachines.basicmachine.extractor.tier.04.name
gregtech:gt.blockmachines:275, gt.blockmachines.basicmachine.extractor.tier.05.name
gregtech:gt.blockmachines:281, gt.blockmachines.basicmachine.extruder.tier.01.name
gregtech:gt.blockmachines:282, gt.blockmachines.basicmachine.extruder.tier.02.name
gregtech:gt.blockmachines:283, gt.blockmachines.basicmachine.extruder.tier.03.name
gregtech:gt.blockmachines:284, gt.blockmachines.basicmachine.extruder.tier.04.name
gregtech:gt.blockmachines:285, gt.blockmachines.basicmachine.extruder.tier.05.name
gregtech:gt.blockmachines:291, gt.blockmachines.basicmachine.lathe.tier.01.name
gregtech:gt.blockmachines:292, gt.blockmachines.basicmachine.lathe.tier.02.name
gregtech:gt.blockmachines:293, gt.blockmachines.basicmachine.lathe.tier.03.name
gregtech:gt.blockmachines:294, gt.blockmachines.basicmachine.lathe.tier.04.name
gregtech:gt.blockmachines:295, gt.blockmachines.basicmachine.lathe.tier.05.name
gregtech:gt.blockmachines:301, gt.blockmachines.basicmachine.macerator.tier.01.name
gregtech:gt.blockmachines:302, gt.blockmachines.basicmachine.macerator.tier.02.name
gregtech:gt.blockmachines:303, gt.blockmachines.basicmachine.macerator.tier.03.name
gregtech:gt.blockmachines:304, gt.blockmachines.basicmachine.macerator.tier.04.name
gregtech:gt.blockmachines:305, gt.blockmachines.basicmachine.macerator.tier.05.name
gregtech:gt.blockmachines:311, gt.blockmachines.basicmachine.microwave.tier.01.name
gregtech:gt.blockmachines:312, gt.blockmachines.basicmachine.microwave.tier.02.name
gregtech:gt.blockmachines:313, gt.blockmachines.basicmachine.microwave.tier.03.name
gregtech:gt.blockmachines:314, gt.blockmachines.basicmachine.microwave.tier.04.name
gregtech:gt.blockmachines:315, gt.blockmachines.basicmachine.microwave.tier.05.name
